time,device_id,login,channel,country,player,game
2015-01-01 13:52:27,7361fc61d20d509e14d1bceb095e950a4a53be8d,62c856bc9a1965df787fefa56ff46c8f2316e3a0,kramer,DE,,Counter-Strike: Global Offensive
2015-01-01 01:20:08,a8f2b43217deffd17fc5589f0933f90224a9f59e,75e990cf18fc10e69d6d765c555cf07543689f4c,frank,US,ipad_t,League of Legends
2015-01-01 09:45:44,53210c06e61e8fa4efcb88ac7bb83163c2d98500,1a18a5fd4f0972a7850e15acbdf93695d2747611,morty,DE,android,Heroes of the Storm
2015-01-01 11:51:40,2f564b5338b183b9fa3c4a237a9d89304af74256,34815f8b5a8a0938bb9c11156ef096aea13ccc50,estelle,ZA,,Dota 2
2015-01-01 13:26:32,1f38af7da15b77ec7e3a1300621358f905b859c8,e713c827cff02e702af24972267a5fafaf7d11c1,susan,RU,,World of Tanks
2015-01-01 23:44:05,b5e1bede5b617bbd9fce5a3950e46c7a4e0b97f5,791c98906d5e9dd7f7e7262840cb66483f60c736,frank,ZA,,League of Legends
2015-01-01 02:00:33,fbebcf6c156a8cec8c3eb3ab80e7466ab26a9909,ce400004bc079271678e8a968275718bb3c0ccb7,elaine,HK,,Gaming Talk Shows
2015-01-01 08:18:29,68e5754064a97e46f965a123257aaafbbc8765ef,827ed009d230a3a09148760c9554bf748d05dfaf,morty,DE,,Heroes of the Storm
2015-01-01 17:43:28,8bd33cf34178a8f4049b37ad8b5ef35f5631df79,9491f56732fd1a8205aa226f63b19c39991d7bd5,frank,JP,,League of Legends
2015-01-01 21:38:06,656df4066327046f35cf18f3145f5fca375e92ac,c9a401687f9927cedcaa142f9cc5ea4642b9d133,george,US,iphone_t,DayZ
2015-01-01 03:36:43,9180d5e4fdc2e66067d69e67e857829242008ba3,83d899c02f5db2bb9cfc5f18e8d2a45993db0ee7,frank,DE,,League of Legends
2015-01-01 07:12:49,8db592832a353ad618ed642aeb5bf1d52191c115,bcbfb276445ee25d7274679fda545291fc22c56e,susan,RU,android,World of Tanks
2015-01-01 15:53:09,d448ba963d7e1023dd1b0a40b95d4f6611750692,77ab14c1fb815e1c369ba0cf7d4c56b4fe489997,frank,GB,iphone_t,League of Legends
2015-01-01 19:01:02,059ebdf09ad5fe4f6db37e3dad48a82d3aab3e90,343cb13f0e786447dd255601413e17d7eb964367,frank,US,,League of Legends
2015-01-01 02:17:10,ac68c4b9bb96e593505e45dc4d9cb674a03803ff,9e555eccbb70e1658a6fcb2980cbc95482f2286d,elaine,TW,,Gaming Talk Shows
2015-01-01 19:46:54,6c8564920cc3c04f8b4b099c7d578ad2b95f9f46,d36cab1346d6c45c42450cafeef549d2e3882d71,george,US,android,DayZ
2015-01-01 13:03:02,b5688b797a57cc7890fcb08823c470a4ee373050,7697d0c4cf1bfe14be34e296de9002c3d76616a0,kramer,DE,,Counter-Strike: Global Offensive
2015-01-01 21:47:45,5b93734447bbf45fc52aa4fda526616234502008,11caa17b0d3ef36c0ffe8d65fc6468da3284a1e7,george,US,,DayZ
2015-01-01 17:06:12,d7496ea3abe9eaa1ddcac3aa6f604b5ee3947a24,02d09667e3ef3624e120dfdc3c525d0a8eac9977,frank,US,,League of Legends
2015-01-01 20:48:47,6ac48ad8a5974d96f5f83565486add0fe7f11b48,71a0f6db0475513e1e90bab601d529829aa6b4f3,frank,US,,League of Legends
2015-01-01 16:57:03,3a94e83d271cc95687959cd571c651fa11535104,9321e0463b20ab4e19564d9d5d5865be264693c0,frank,US,android,League of Legends
2015-01-01 17:35:26,6d7c8d78bef61e2a40a208bae324dba12271305b,a6aef1d4e43364a0a1ef20230756ea209cf0a12e,frank,US,,League of Legends
2015-01-01 02:25:14,a2d694a942758a35033b70c1184f7f0f967bbe3c,943b21f24c421fff8cbc5da893c46cd135751058,elaine,TW,,Gaming Talk Shows
2015-01-01 15:28:30,acec748e8a0b36c1eca2cd27425e1fcd3d396758,af26abfdc5f909fef201edc12ae9be99a991034a,kramer,DE,android,Agar.io
2015-01-01 22:53:14,9cdac514d51f9f472b46cc5e2760d1574f9f9a7a,5ccc58b9af0d6039110306ac48f5fde9a55436ac,george,US,android,DayZ
2015-01-01 02:12:59,189ab1299362e921219dbe32a3f728ae03ac48e4,68ab671552de3586e19c99b94de0718b27334e56,elaine,TW,,Gaming Talk Shows
2015-01-01 13:35:18,818c8f519cfb4451dc2e77c53a65b9fe909d2891,1f36f80f6cb9dd87de529f78f4907c52307e329d,estelle,US,,Dota 2
2015-01-01 13:47:21,812f1f6f68f6e7d727ed4b4dbd53eda69f57ae72,25fb55d5d8e357394e1d50b82580445a8b1fa32e,estelle,PK,,Dota 2
2015-01-01 14:09:16,bee103ca97e87141acda4af74b9044431407bedd,ea36e0ee8f4a6eacdc389a990ba0c0e9d28ec3aa,kramer,PL,android,Counter-Strike: Global Offensive
2015-01-01 17:20:20,51c5c05004101b56db2b5cb60fe5a885d9dbab8d,ab6664a47974705f00f0b5de2cc4793fa46a58d9,frank,FI,,League of Legends
2015-01-01 17:10:19,9627b4a5ed2f653a0404eaf4c2a43905ec9daabb,d47054e773aee8bb3e03dbff62f3dc47e60f8efc,frank,MA,,League of Legends
2015-01-01 16:19:31,b224a8762762db3075c311594734ff5f34a6ba68,69a6d49625f2a023621b7d56a1a6d237a0bc867a,frank,US,,League of Legends
2015-01-01 18:34:23,fe29474ffa0e31c815291edfc23351c8cd7ffe61,d2954cb9a62cf86f3d96f8ed8e498c726c1f3860,jerry,RU,iphone_t,Dota 2
2015-01-01 16:55:28,042c719b01170ba512b8aa0ea4e7d8be1608d06e,1cfbffd0958b53dd594b2e450114b24e6492887a,helen,BR,,Hearthstone: Heroes of Warcraft
2015-01-01 17:37:26,bc4c5c467a5cdfc94a7f30ce402842f2b70b79a2,12cab807a718c5156ad5085b21d3a33e816573d7,morty,BE,ipad_t,Heroes of the Storm
2015-01-01 03:46:18,e7e40a7cf244f51c3a00e916c5c8a7b50071671b,c8a239f077dae4306627906335a2af017b70efb2,frank,US,,League of Legends
2015-01-01 15:28:05,fcb8039f3d406fa267436968fdfca54e08b37f32,5d12c0ce589ecb857a80436f0eec79e47eaab66c,kramer,US,android,Agar.io
2015-01-01 03:44:18,5ff1c136401b983a496fd350cda4c85049eb5847,6134afd1f743d9bcc2e675bdd89a9ecc454bdcfc,frank,SE,,League of Legends
2015-01-01 13:38:51,e53617032d6ce6aa1968ab81accc420955e4ba53,c9992ff2ac8cc171515660aad0d3895b0650e4f6,kramer,US,,Counter-Strike: Global Offensive
2015-01-01 18:59:45,55319b28b39aa38001d0491f67bf130f73f118bc,cd7e84c8fd0bcc39b1f8c7bc3c46e5ab094e5508,jerry,JP,android,Dota 2
2015-01-01 17:39:02,af2556b0464f22953ff45bd4b588af42f1b742d8,bec190356dd92858c95ad9c6016d1c3389a8e639,morty,US,,Heroes of the Storm
2015-01-01 18:27:02,0432e57e287b5f3225f590d9cf06eda8cd991e57,bf431fd153748bec80266073f5c767456af5aa0c,frank,US,,League of Legends
2015-01-01 13:39:10,9aab9c3f606e63c7e032e30ac8dceb5804ca8817,ce4353128a8ee428d7e727c6ceec081b5bcc7710,estelle,ID,,Dota 2
2015-01-01 06:21:46,9517c156eafbc1aa8b0a4e4c5d912693221b65d1,205e713b1f1dc015cb9f5be59345c5802ea9f777,susan,RU,ipad_t,World of Tanks
2015-01-01 20:23:56,d757c3dbe737d371e324b64413c4f7108d29366a,57f04213824bda5ca263a08c0289c23ebc9b4bc7,frank,US,,League of Legends
2015-01-01 19:30:53,3a94e83d271cc95687959cd571c651fa11535104,9321e0463b20ab4e19564d9d5d5865be264693c0,frank,US,android,League of Legends
2015-01-01 21:56:18,c3eb5e99778d22b8e52a106fa23a8ea912a281b8,6051534ef2789c68de4e320dfc1befbf64e15e9e,frank,US,,League of Legends
2015-01-01 16:28:17,b53fd7a9e73f0a56cc06df559419d3993b7bbc66,da211b4da2975cfede8f8b0b14d668eecc757213,frank,US,,League of Legends
2015-01-01 14:14:53,dcffedc3f5a46a895d70d70d5c9c9abfdcb7c33d,8464a5359d8df9d6636355b391b8748d856bc61b,elaine,TW,,Gaming Talk Shows
2015-01-01 11:04:24,d924c63dac283c0860ddfc71ce4093b3394715b8,162d697b7385c591d8e6bd6e8fa10e584659a51f,estelle,HR,,Dota 2
2015-01-01 19:25:01,2164140d411f662a24f7740bf9129fc0f10cf5be,1eb4e25737038d4c13281263eff68b77a7e7d96e,george,US,android,ARK: Survival Evolved
2015-01-01 17:09:01,62b3bbe4b833f08e70885f9c21c9dbbb9eabb94e,c36c8be8e2d9783c7289af67290e286311a2c81d,frank,US,,League of Legends
2015-01-01 17:32:43,c28a2e202a7daca93ba44069062fc90c5b56e3a7,853271558af6e0cd649d2458ddff12c765168808,frank,NO,,League of Legends
2015-01-01 04:15:53,f6ac16c4e6a0a2bcd1bb797e18c66d61ccb4a159,25fe5e4ad0bcc2708d70cb9bb863085d6d93a560,frank,US,,League of Legends
2015-01-01 23:42:41,d3c91f4874273e9417569038f993699b6b759082,be65239466d063596045df721f9c71de4316875c,george,US,iphone_t,DayZ
2015-01-01 21:51:16,2d36250d6911e3fcc6993a2066926ca66a6ede2d,fffafc79bfab6085f3825a043ec9354d626dc21f,frank,US,,League of Legends
2015-01-01 10:56:03,47c1f0a55228454ae7d4040fe678a2d34f0ad701,f00a0557450662749a750f688c9a3711d304a785,estelle,US,,Dota 2
2015-01-01 07:13:12,97d9e830fd66eb64979892db745ff49e80da7cba,4c49673d93acf430954ed6a99f36312a6f2ecd9c,elaine,TW,,Gaming Talk Shows
2015-01-01 16:29:04,270d622785b79f2f9a1eb507418529e830e2d69a,a0fbe43adde73eaef70a8c94e9b4e2d80461c278,morty,CA,,Heroes of the Storm
2015-01-01 09:46:18,c9a629c50799cd2797bea16840148fa90bdea9b9,1a1102fbe66869c5a8c05cf2a4d89c7b3e5aef5b,elaine,TW,android,Gaming Talk Shows
2015-01-01 20:41:23,9ec429deeaeb405929e66fcc713f1b513601b4a1,b50bceb9885a04821f4051643a6eb93f4553cd52,george,US,iphone_t,DayZ
