time,device_id,login,channel,country,player,game,stream_format,subscriber
2015-01-01 13:39:23,84f580f5f833cfed32b2c7b9d09b7b13f6e54a70,e4a4dd31151d1239e74eacea19652fdd706fe3da,estelle,US,android,Dota 2,,
2015-01-01 03:25:36,46ced12802a98051a1cbf3bf5a38c6abe00d369f,8574fbc81a230067cc4c3398784706927bd90a03,frank,RO,site,League of Legends,high,false
2015-01-01 15:33:46,f96c50ca234577973a19ebee5a8594667f4f7e5b,3ab05811e175ee9bf4f694ee813a7f7f74f96f89,kramer,PL,ipad_t,Counter-Strike: Global Offensive,,
2015-01-01 23:12:49,666758b04eaec0abdc01c1ce20e9198b5b388e03,7af01d4cb1b338e4e4ccc446c4fa7c71b1dedf9c,frank,US,android,League of Legends,,
2015-01-01 18:45:04,3ae7d49e990f647dd7a9cf6b688c11576fc6e64d,312812270f547afe9730d07f5f67905f5c452228,morty,CL,site,Heroes of the Storm,low,false
2015-01-01 07:11:43,1cf5c511cd3326e37752bf602927f22ba05e9d67,6e2e23d5f1bfc44228d027da2f97d4c3ef9d9810,elaine,TW,site,Gaming Talk Shows,chunked,false
2015-01-01 11:51:24,bf9c6ba0b9e0b256a187205b7dd3601944e13a94,95369157a91db97ccebbd9d5c1d19387fe2410b0,estelle,FI,embed,Dota 2,chunked,false
2015-01-01 20:35:36,4dfd1556975d0c575563867965e1eb36ad8417c0,1cfd1becde526a6e37b0069bd22d77ed60324a84,newman,CA,site,The Binding of Isaac: Rebirth,chunked,false
2015-01-01 18:02:48,bcb5920ca2d43ef64c7b5477ffe5655b23713edb,1d93a696162caf004981f63d024857a9cccf9645,frank,US,site,League of Legends,chunked,false
2015-01-01 14:12:00,1622b69b4837f1a765e603b3a62f4f28c6c8baf4,41508e21e4b1ec215aaddde4e8b65a4223570577,helen,ES,site,Hearthstone: Heroes of Warcraft,high,false
2015-01-01 13:19:04,36b74f7b050a969ba96a340bdc27fcd47bc09599,c5ff5ce7305387203b34473d484ba448bbd53a29,estelle,UA,site,Dota 2,chunked,false
2015-01-01 04:45:54,aa2398ce19c76990bf97fea5dcff8e3ca0ecdc2a,5d9d5d9241d2578fe897f9bdce5585e17cd4b78c,frank,,iphone_t,League of Legends,,
2015-01-01 04:30:28,e253e8992410e6c9b7eddf65885ee9c69111bae5,9fce5d983d57b79e6f23446cc4cf2cdf57bdafb4,frank,CZ,site,League of Legends,medium,false
2015-01-01 02:00:21,0e95ce5e2bd537850a7bf8ec6e8535885add20d2,f18c11bd1d03757be7c240940b14a0c346d55514,frank,US,android,League of Legends,,
2015-01-01 12:02:03,92d58f1b8f9b0a1ed5ce1d93b0e303fbafb2e6ad,174c345dc9bb442b293d931bb6a5c6356a3e8308,kramer,FR,site,Counter-Strike: Global Offensive,medium,false
2015-01-01 13:49:29,49929276661684030a6a008dedd611693611f067,ad3de0ea74ec0f3fd8415dd2159576496210020e,kramer,FI,site,Counter-Strike: Global Offensive,chunked,false
2015-01-01 18:01:38,149589c8459fb9fcbbe8156a469356055a084cc6,5390c2cebf5461434538f0e7fe91532d274848ae,newman,RO,android,,,
2015-01-01 14:28:50,463d3e346355889b898da11ff51e618d5e9d07ed,dc1ce86e5841d3bc8399eca9642f3e853d06d7e9,newman,,android,The Binding of Isaac: Rebirth,,
2015-01-01 15:14:29,b3452dba9d691127091b4ccff90477f3628ad504,f2e0309f1f458f611a1e159f6ecb3af6e4c4d316,helen,DE,ipad_t,Hearthstone: Heroes of Warcraft,,
2015-01-01 18:28:52,5e489130a987577cee0eb7dbb36e1f5af43ad35a,c6cc999adc1cbb317d390f1f0a954cf5557d1bb3,jerry,RU,embed,Dota 2,chunked,false
2015-01-01 17:52:05,5bc5151065312fc4ebade6323a2274ee9a8e1d84,b78d43099a0c9bfc58e6bc7fa2bc0348ad00b0d4,jerry,RU,frontpage,Dota 2,high,false
2015-01-01 14:31:56,002109aaf6eb7328e019d5b275d4255f9479a6a4,c11430fc87d951f03ebc32491491573a2340ea13,kramer,US,site,Counter-Strike: Global Offensive,high,false
2015-01-01 19:37:23,b612fa894e602aea9d20fe857affd4b9c924f850,aa0efe13b17fb9c8fc73a8c8d529919ec8dffc21,jerry,US,ipad_t,Dota 2,,
2015-01-01 16:34:41,9858a83b033e0a9d8d8f0f945be878ed97320ee4,27972305a954366d260411d55bc89723392de187,newman,PL,site,Rocket League,chunked,false
2015-01-01 15:49:42,e5f1386e040de01436e1b88e3049f21802764688,8e7f6d42711c6d3311cb53c73fe6a924848a28a7,frank,BR,android,League of Legends,,
2015-01-01 02:54:52,b24f39162e6bebe64a969ae6867e0519fba9fde3,7913691e44f954e9bd166f61a8c87136c060e7f5,frank,US,iphone_t,League of Legends,,
2015-01-01 21:09:48,cc402030c835afb2ab24c800095e80441976962f,e0a09d492dea5608940dea5939ed14d23d72b8d6,george,US,iphone_t,DayZ,,
2015-01-01 15:00:30,1d2bb0c2c551103d90479d7e92abd1c17b523845,bddcef660dce7c3653106a18cdf32582c45bb205,kramer,US,iphone_t,Agar.io,,
2015-01-01 07:38:37,f46e272b88df89ce8503aafc7517179c59c5ab20,ad5793f8a0849ff5f7de8625401e3831b5f31814,elaine,TW,android,Gaming Talk Shows,,
2015-01-01 12:38:06,320bd020f6cdb4dda803619515d09d749afe5888,8bdcb81fed8cb1bfd02837f90f244519bf35a9f5,morty,TW,site,Heroes of the Storm,chunked,false
2015-01-01 00:18:33,813c207eacb500257d1c510165ffa7f33520bc40,2febe26042af9aadda25108760c9207bb5ce5b75,susan,RU,site,World of Tanks,chunked,false
